target_id	10_compatible1	10_compatible2	10_compatible4	10_incompatible1	10_incompatible2	10_incompatible3
AT1G06313.1	0	0.124852	0	0.129939	0.143186	0.0652769
AT1G06323.1	0.170398	0	0	0	0.179089	0.162325
AT1G06393.1	0.247671	0.115806	0	0	0.130127	0.118353
AT1G06473.1	1.93431	1.50804	1.94703	1.68565	2.13312	2.41462
AT1G06537.1	11.9523	15.1778	12.7314	20.5124	14.2889	16.094
AT1G06573.1	0.71079	0.571897	1.23128	0.290405	0.888647	0.545283
AT1G06587.1	0.766855	0.476329	2.70017	0.487347	1.07307	1.45787
AT1G06593.1	0	0	0.237085	0	0.133752	0.353366
AT1G06837.1	0.24967	0.416468	0.312072	0.424794	0.066483	0.182469
AT1G06867.1	0	0.200497	0.104479	0	0	0
AT1G06907.1	0	0	0	0.0969892	0.105295	0.193152
AT1G06927.1	0	0.0995738	0.105137	0	0	0
AT1G06987.1	0.152458	0.145711	0	0.30031	0.163547	0
AT1G06993.1	0.216421	0.806392	1.24755	1.0314	1.81916	0.823002
AT1G06997.1	0	0	0	0.0622947	0	0.0625764
AT1G07023.1	2.80959	1.96525	2.33404	2.27899	2.35777	2.29207
AT1G07027.1	4.9899	3.06665	2.32282	3.91938	5.18741	4.04896
AT1G07119.1	0.669141	0.696118	1.06543	0.491071	0.567044	0.551978
AT1G07119.2	0	0.116853	0	0.186138	0	0.0761933
AT1G07119.3	0.166975	0.149356	0.219397	0.510589	0.177395	0.182442
AT1G07119.4	0.0995749	0.0119615	0.403228	0.266027	0.756477	0.17579
AT1G07119.5	0.162827	0.0817612	0.0576169	0	0.19521	0.0887962
AT1G07128.1	0.953052	1.1383	1.74278	0.528927	0.978893	1.35269
AT1G07143.1	0	0.0601622	0.0633141	0.0617932	0.0677538	0
AT1G07193.1	2.17307	3.28997	1.04311	3.10552	2.84965	1.54902
AT1G07273.1	0.420283	0	0.270015	0.134291	0	0.267259
AT1G07287.1	0	0	0.47341	0.470176	0.517425	0.234143
AT1G07323.1	0.118861	0.333628	0	0	0.124904	0.340967
AT1G07417.1	0	0	0.938232	0.310015	0	0.62
AT1G07437.1	0	0.330507	1.01773	0.336493	0.371809	0
AT1G07457.1	0.0762806	0	0.45445	0.186379	0.203046	0.22659
