lnc_id	pc_id	pearson_r	pearson_pval	spearman_rho	spearman_pval	lnc_expr_samples	pc_expr_samples
TCONS_00004098	AT2G30600.5	0.79403069	0.05926608	0.828571429	0.041562682	6	6
TCONS_00004098	AT2G30600.1	0.547765112	0.260529866	0.657142857	0.156174927	6	5
TCONS_00004098	AT2G30600.6	0.969403523	0.001389895	0.885714286	0.018845481	6	6
TCONS_00004098	AT2G30930.1	0.758222827	0.080617614	0.828571429	0.041562682	6	6
TCONS_00004098	AT2G40980.1	-0.590064843	0.217626097	-0.657142857	0.156174927	6	5
TCONS_00004098	AT2G45650.1	-0.402460294	0.428903669	-0.828571429	0.041562682	6	6
TCONS_00004098	AT2G47780.1	-0.723697485	0.103967727	-0.714285714	0.110787172	6	6
TCONS_00004098	AT2G04160.1	0.77581318	0.069755811	0.657142857	0.156174927	6	6
TCONS_00004098	AT2G23170.1	-0.823314724	0.044068677	-0.942857143	0.004804665	6	6
TCONS_00004098	AT2G30540.1	-0.975051093	0.000925907	-0.942857143	0.004804665	6	6
TCONS_00004098	AT2G40170.1	-0.592798792	0.214959644	-0.885714286	0.018845481	6	6
TCONS_00004098	AT2G45560.1	0.942187398	0.004916832	0.771428571	0.072396501	6	6
TCONS_00004098	AT3G13960.1	-0.342431536	0.506429346	-0.6	0.208	6	4
TCONS_00004098	AT3G14570.1	-0.332419515	0.51973736	-0.314285714	0.544093294	6	4
TCONS_00004098	AT3G14570.2	-0.513070439	0.297925	-0.371428571	0.468478134	6	6
TCONS_00004098	AT3G17690.2	-0.234303735	0.654975829	-0.202919862	0.699797968	6	4
TCONS_00004098	AT3G17690.1	-0.727494651	0.101270738	-0.657142857	0.156174927	6	6
TCONS_00004098	AT3G19960.3	0.207871052	0.692684515	0.085714286	0.87174344	6	6
TCONS_00004098	AT3G19960.2	0.944960316	0.004460683	0.927633657	0.007665844	6	4
TCONS_00004098	AT3G19960.1	0.83782339	0.037319155	0.6	0.208	6	4
TCONS_00004098	AT3G25950.1	0.832977156	0.039515258	0.771428571	0.072396501	6	6
TCONS_00004098	AT3G50930.1	-0.81815063	0.046596984	-0.771428571	0.072396501	6	6
TCONS_00004098	AT3G62550.1	0.850061046	0.032037094	0.885714286	0.018845481	6	6
TCONS_00004098	AT3G10180.2	-0.892067944	0.016845325	-0.828571429	0.041562682	6	6
TCONS_00004098	AT3G14172.3	0.916935621	0.010062977	0.771428571	0.072396501	6	6
TCONS_00004098	AT3G15670.1	-0.572915937	0.234650959	-0.714285714	0.110787172	6	6
TCONS_00004098	AT3G19030.1	-0.79916303	0.056452804	-0.771428571	0.072396501	6	6
TCONS_00004098	AT3G21550.1	0.67026976	0.145158576	0.714285714	0.110787172	6	6
TCONS_00004098	AT3G22640.1	-0.540839242	0.267840792	-0.942857143	0.004804665	6	6
TCONS_00004098	AT3G25570.2	-0.898303622	0.01498735	-0.927633657	0.007665844	6	4
TCONS_00004098	AT3G25570.1	-0.746061733	0.088539406	-0.714285714	0.110787172	6	6
TCONS_00004098	AT3G26860.2	-0.910160435	0.011744167	-0.828571429	0.041562682	6	6
TCONS_00004098	AT3G47160.1	0.891127939	0.017134451	0.885714286	0.018845481	6	6
TCONS_00004098	AT3G47160.3	0.930250111	0.007127902	1	0	6	6
TCONS_00004098	AT3G51400.1	0.92929535	0.00732199	0.942857143	0.004804665	6	6
TCONS_00004098	AT3G60900.1	-0.402964962	0.428269436	-0.828571429	0.041562682	6	6
TCONS_00004098	AT3G62160.1	0.735178963	0.095909299	0.714285714	0.110787172	6	6
TCONS_00004098	AT4G00230.1	0.728493218	0.100566711	0.714285714	0.110787172	6	6
TCONS_00004098	AT4G00230.2	0.480109956	0.335169075	0.657142857	0.156174927	6	6
TCONS_00004098	AT4G12890.1	-0.445856241	0.375531026	-0.771428571	0.072396501	6	5
TCONS_00004098	AT4G12960.1	-0.487797978	0.326338034	-0.6	0.208	6	6
TCONS_00004098	AT4G27860.2	-0.173959384	0.741693091	0.2	0.704	6	6
TCONS_00004098	AT4G27860.1	-0.440241345	0.382300108	-0.657142857	0.156174927	6	6
TCONS_00004098	AT4G27860.4	-0.796502053	0.057903553	-0.828571429	0.041562682	6	6
TCONS_00004098	AT4G37730.1	-0.955188734	0.002967083	-0.942857143	0.004804665	6	6
TCONS_00004098	AT4G10420.1	-0.867793591	0.025062415	-0.771428571	0.072396501	6	6
TCONS_00004098	AT4G18550.3	-0.375702818	0.462961489	-0.142857143	0.787172012	6	5
TCONS_00004098	AT4G18550.1	0.748586145	0.08686759	0.714285714	0.110787172	6	6
TCONS_00004098	AT4G19430.1	0.823933998	0.0437699	0.828571429	0.041562682	6	6
TCONS_00004098	AT4G20040.1	-0.745707399	0.08877521	-0.828571429	0.041562682	6	6
TCONS_00004098	AT4G20050.2	0.479733131	0.335604125	0.289885518	0.577351787	6	4
TCONS_00004098	AT4G20050.7	-0.123589704	0.815559325	0.085714286	0.87174344	6	4
TCONS_00004098	AT4G21630.1	-0.428762778	0.396267176	-0.657142857	0.156174927	6	4
TCONS_00004098	AT4G25000.1	0.465144004	0.352603027	0.314285714	0.544093294	6	6
TCONS_00004098	AT4G26590.1	-0.378708849	0.459094012	-0.6	0.208	6	6
TCONS_00004098	AT4G29880.1	-0.911775357	0.011332029	-0.771428571	0.072396501	6	6
TCONS_00004098	AT4G31240.2	0.808988401	0.051243576	0.771428571	0.072396501	6	6
TCONS_00004098	AT5G03510.1	0.728290177	0.100709686	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G03790.1	-0.554272006	0.253733009	-0.828571429	0.041562682	6	6
TCONS_00004098	AT5G04080.3	0.497898033	0.314868022	0.463816829	0.354164298	6	4
TCONS_00004098	AT5G04080.2	-0.690830248	0.128602763	-0.753702346	0.083523281	6	4
TCONS_00004098	AT5G04080.1	-0.909154978	0.012004363	-0.828571429	0.041562682	6	6
TCONS_00004098	AT5G07660.1	0.834218598	0.038947086	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G11900.1	0.772706527	0.07162223	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G14740.9	-0.69642482	0.124248411	-0.885714286	0.018845481	6	6
TCONS_00004098	AT5G20250.2	0.258495214	0.620893476	0.257142857	0.622787172	6	6
TCONS_00004098	AT5G20250.1	0.345973293	0.501746133	0.405839725	0.424662508	6	4
TCONS_00004098	AT5G20250.4	0.604970294	0.203250812	0.714285714	0.110787172	6	6
TCONS_00004098	AT5G20250.3	0.531343008	0.2779913	0.231908414	0.658373571	6	4
TCONS_00004098	AT5G38930.1	-0.754145916	0.083236116	-0.657142857	0.156174927	6	6
TCONS_00004098	AT5G48780.1	-0.934341779	0.006324977	-0.885714286	0.018845481	6	6
TCONS_00004098	AT5G50130.1	0.499115142	0.313496052	0.6	0.208	6	6
TCONS_00004098	AT5G50130.7	0.648403164	0.163698243	0.714285714	0.110787172	6	5
TCONS_00004098	AT5G50610.1	-0.885235745	0.019000481	-0.828571429	0.041562682	6	6
