target_id	60_compatible1	60_compatible2	60_compatible3	60_incompatible1	60_incompatible3	60_incompatible4
AT4G02005.6	0.655925	0.400419	0.868876	1.01884	1.1243	0.54698
AT4G02010.1	10.1412	9.67038	9.02148	8.13329	9.44985	10.6506
AT4G02020.1	16.7459	18.3902	11.232	12.9031	12.2795	13.0318
AT4G02020.2	0.319511	0.588662	0.93423	0.776494	0.179443	0.817317
AT4G02020.3	0.320271	0.616259	0.549242	2.84646e-10	0.359037	0.211608
AT4G02020.4	1.29919	0.833089	0.726744	0.838582	1.17359	0.930371
AT4G02030.1	19.8295	16.8792	15.187	15.6033	15.1268	16.2387
AT4G02030.2	0.651149	0.729948	3.84468e-6	5.0752e-8	0.925003	0.774432
AT4G02040.1	5.20258	5.68002	3.12405	5.05618	5.03926	5.15898
AT4G02050.1	7.4967	5.89886	5.97372	5.95122	10.6915	8.94668
AT4G02050.2	29.1652	25.278	17.7227	24.708	29.5339	26.3478
AT4G02060.1	11.6139	14.8515	12.0415	9.76782	8.41531	10.3782
AT4G02070.1	4.3988	3.78831	3.34823	2.95805	2.69445	3.42251
AT4G02075.1	23.2264	23.7279	16.4788	16.0455	15.3546	10.6911
AT4G02075.2	0.769129	1.47419	0.704168	0.428775	0.552159	0.26323
AT4G02075.3	1.01432	1.14865	0.826884	1.16838	0.448254	0.540834
AT4G02080.1	175.593	171.684	150.418	158.983	175.294	170.099
AT4G02090.1	2.80856	1.85988	3.19772	2.33519	2.94707	1.39408
AT4G02100.1	2.52196	3.11985	2.43388	2.81894	3.34931	3.39757
AT4G02110.1	2.4073	1.68161	1.40452	1.87157	1.16808	1.3047
AT4G02110.2	0.268876	1.3067	1.03312	0.357735	0.815077	0.845481
AT4G02120.1	14.5344	15.4191	11.7568	12.4209	13.5686	9.05254
AT4G02120.2	14.9567	12.9561	9.99215	12.0773	10.1611	13.6612
AT4G02120.3	0	0.625922	0.986025	0.794422	1.99007	0.782134
AT4G02120.4	3.91184	3.50161	3.786	2.5876	2.85896	3.6851
AT4G02120.5	3.75892	3.93497	6.64897	4.24094	6.43139	4.43698
AT4G02130.1	1.06909	1.85159	1.48568	1.0312	0.541632	0.976433
AT4G02140.2	0.603013	0.530902	0.975644	0.551902	0.519478	0.38082
AT4G02150.1	17.8175	20.4593	16.7277	18.2648	17.8563	18.3786
AT4G02160.1	14.7408	20.0895	11.2528	5.32261	0.277136	0.0599584
AT4G02170.1	9.05654	6.61691	4.72633	2.08122	1.67269	0.56891
AT4G02180.1	0.257297	0.183838	0.111887	0.0544448	0.0360236	0.0505585
AT4G02195.1	8.31944	8.14996	7.61058	6.62743	8.3374	7.52369
AT4G02200.1	42.5957	63.2314	33.0495	17.8913	11.4577	9.0629
AT4G02200.2	0.40773	1.01003	0.195184	0.193518	0.59171	0
AT4G02210.1	5.79321	6.20137	7.58565	8.59934	7.74706	7.47637
AT4G02210.2	1.54263	2.07804	0.756912	0.813124	1.56877	2.06596
AT4G02220.1	7.70512	8.0808	7.0525	7.31779	8.60327	8.24684
AT4G02230.1	187.447	198.883	189.597	182.744	199.232	210.693
AT4G02260.1	1.2013	3.0984	1.63222	1.95097	1.84902	2.5968
AT4G02260.2	4.68035	3.51692	3.51394	3.49589	3.58533	3.15416
AT4G02260.3	1.41917	1.31115	0.814704	1.33962	0.801429	0.920053
AT4G02280.1	1.9256	4.98189	0.9176	0.59434	0.868411	0.38021
AT4G02290.1	13.6597	51.8113	22.7421	16.1688	14.021	19.6583
AT4G02320.1	2.01884	1.79357	0.872363	1.28638	1.90284	1.76139
AT4G02330.1	110.724	93.1908	71.4999	87.9485	88.094	89.3723
AT4G02340.1	17.9439	20.1034	18.865	23.3743	18.6959	21.1158
AT4G02350.1	0.564779	1.50768	1.49579	1.85395	0.388216	0.42505
AT4G02350.2	39.3337	39.0037	31.5167	31.5658	32.6586	30.7166
AT4G02360.1	3.88665	6.03627	4.71336	4.33263	3.39064	4.30332
AT4G02370.1	105.966	108.612	90.981	111.837	129.735	123.123
AT4G02380.1	19.7805	25.5265	22.8149	15.2349	15.3362	11.0942
AT4G02380.2	76.0302	53.0473	50.141	27.0502	19.3513	10.2036
AT4G02380.3	2031.74	1936.12	2152.96	2260.74	2156.75	1994.53
AT4G02390.1	1.50632	1.82983	0	0.265192	0.184558	0.361438
AT4G02390.2	1.81217	2.78328	2.67661	1.79278	3.20868	3.44309
AT4G02390.3	1.16116	6.90708e-7	0.703441	1.94787	1.0256	0.591952
AT4G02400.1	16.5659	14.5303	10.619	11.5637	11.5748	12.9568
AT4G02405.1	10.3785	9.14573	8.48361	7.70069	9.49244	8.8414
AT4G02405.2	0.445839	0.748226	0.118188	0.570076	0.260562	0.495036
AT4G02410.1	20.1462	18.6516	11.5118	17.5975	25.7087	21.4213
AT4G02420.1	4.28294	3.27243	1.36122	2.47504	2.98442	2.52986
AT4G02425.1	2.85759	3.42402	2.95266	2.81915	4.16479	3.34004
AT4G02430.1	2.14856	2.4607	1.5167	1.53951	3.03466	3.06038
AT4G02430.2	0.672325	0.278124	0.52156	0.594853	0.881035	0.804794
AT4G02430.3	5.58499	3.80204	4.08543	3.81703	4.84935	7.28167
AT4G02440.1	8.44657	8.77101	9.89465	7.7618	9.21095	12.2126
AT4G02450.1	183.917	196.547	159.6	171.197	183.251	182.71
AT4G02450.2	0.304679	0.214249	0.51956	0.164413	0.16623	0.188432
AT4G02460.1	2.37189	2.25975	2.19726	2.1629	2.33241	1.92387
AT4G02460.2	0.552945	1.44843	0.488991	0.979353	0.796863	1.49512
AT4G02465.1	0.176853	0.432548	0.128276	0.229501	0	0.264137
AT4G02480.1	93.8184	86.1147	80.7462	82.6811	78.8528	82.3912
AT4G02485.1	7.82742	7.31622	8.2505	6.32309	9.34	8.33996
AT4G02500.1	101.097	103.217	89.4878	85.2105	101.072	101.578
AT4G02510.2	0.830047	0.565644	1.02692	0.693721	0.542487	0.544323
AT4G02510.3	26.4759	33.4409	23.3166	25.6264	19.8447	26.657
AT4G02510.4	3.23394	3.50422	1.64285	2.57342	2.88615	2.69037
AT4G02530.2	67.7181	75.768	73.3498	71.9063	62.9071	70.6677
AT4G02530.3	1.89792	2.8669	0.929012	1.83143	3.29531	4.76451
AT4G02540.1	10.3534	10.7202	9.24372	6.92168	6.97908	5.76386
AT4G02540.2	5.28678	4.23132	3.78454	5.63622	4.78533	5.93799
AT4G02550.1	9.1396	8.3179	6.93813	7.23289	7.97468	7.62925
AT4G02550.2	2.56779	3.23624	2.28604	4.60964	3.08704	4.06571
AT4G02550.3	1.86699	2.85027	1.29914	1.82857	1.73564	1.55768
AT4G02550.5	3.43114	2.99741	1.03618	1.61012	1.55571	0.813053
AT4G02560.1	7.45129	5.87598	2.04534	3.89783	5.34584	5.93116
AT4G02560.2	6.61338	6.54563	9.89847	8.7491	6.52068	6.20877
